#separator:;
#html:true
#columns:German;English;Ukrainian;Example
die Arbeitslosenquote, -n;unemployment rate;рівень безробіття;Die Arbeitslosenquote in der IT-Branche ist relativ gering.
auffallen (fällt auf, fiel auf, ist aufgefallen);to stand out, to be noticeable;впадати в око, виділятися;Der saubere Code ist mir beim Review sofort aufgefallen.
das Baugewerbe (Sg.);construction industry;будівельна галузь;Wir entwickeln eine Projektmanagement-Software für das Baugewerbe.
etw. bearbeiten;to process, to edit;обробляти, редагувати;Das Backend muss diese großen Datenmengen sehr schnell bearbeiten.
etw./jdn. beaufsichtigen;to supervise, to oversee;наглядати, контролювати;Der Senior Developer muss die neuen Praktikanten beaufsichtigen.
befristet;temporary, fixed-term;строковий (про договір), тимчасовий;Mein erster IT-Vertrag war leider nur auf ein Jahr befristet.
der Beschäftigte, -n / die Beschäftigte, -n;employee;працівник, співробітник;Das Startup hat mittlerweile über 50 Beschäftigte.
etw./jdn. betreuen;to look after, to support, to manage;обслуговувати, супроводжувати, керувати;Unser DevOps-Team muss die Server-Infrastruktur rund um die Uhr betreuen.
die Branche, -n;industry, sector;галузь, сфера;Die IT-Branche entwickelt sich extrem schnell weiter.
die Dienstleistung, -en;service;послуга;Cloud-Computing (SaaS) ist heute eine sehr gefragte Dienstleistung.
die Finanzbranche (Sg.);financial sector;фінансовий сектор;Datensicherheit ist das wichtigste Thema in der Softwareentwicklung für die Finanzbranche.
der Fluggerätemechaniker, - / die Fluggerätemechanikerin, -nen;aircraft mechanic;авіамеханік;Der Fluggerätemechaniker nutzt Diagnose-Software für die Flugzeuge.
das Gastgewerbe (Sg.);hospitality industry;готельно-ресторанний бізнес;Wir programmieren ein neues digitales Kassensystem für das Gastgewerbe.
das Gesundheitswesen (Sg.);healthcare system;система охорони здоров'я;Die Digitalisierung im Gesundheitswesen ist eine große Herausforderung in Deutschland.
das Gewerbe (Sg.);trade, business, industry;промисел, бізнес, підприємництво;Er hat ein eigenes Gewerbe als freiberuflicher IT-Berater angemeldet.
die Gleitzeit (Sg.);flextime, flexible working hours;гнучкий графік роботи;Dank Gleitzeit kann ich morgens etwas später anfangen zu programmieren.
der Handel (Sg.);trade, commerce;торгівля;Der Online-Handel (E-Commerce) braucht ständig neue Software-Lösungen.
das Handwerk (Sg.);craft, trade;ремесло;Gutes Programmieren ist nicht nur Wissenschaft, sondern auch ein echtes Handwerk.
hervorgehen aus (+ Dat.) (geht hervor, ging hervor, ist hervorgegangen);to emerge from, to follow from;випливати з, походити з;Aus dem Fehler-Log geht hervor, dass der Server überlastet war.
das Homeoffice (Sg.);home office, working from home;робота з дому;Als Softwareentwickler arbeite ich drei Tage pro Woche im Homeoffice.
Hotel und Gastronomie (Sg.);hotel and catering industry;готельно-ресторанна сфера;Diese App richtet sich an Kunden aus dem Bereich Hotel und Gastronomie.
die IT-Branche (Sg.);IT industry;ІТ-галузь;In der IT-Branche gibt es momentan sehr viele offene Stellen für Entwickler.
kaufmännisch;commercial, business;комерційний, торговельний;Der IT-Systemkaufmann kümmert sich um die kaufmännischen Aspekte des Projekts.
die Konjunktur (Sg.);economic situation, boom;економічна ситуація, кон'юнктура;Trotz schwacher Konjunktur suchen Firmen weiterhin händeringend IT-Spezialisten.
die Lagerlogistik (Sg.);warehouse logistics;складська логістика;Wir entwickeln eine Scanner-App für die Lagerlogistik.
die Land- und Forstwirtschaft (Sg.);agriculture and forestry;сільське та лісове господарство;Smarte Sensoren digitalisieren zunehmend die Land- und Forstwirtschaft.
etw. nahelegen (legt nahe, legte nahe, hat nahegelegt);to suggest (e.g., a conclusion);наводити на думку, підказувати;Die Fehlermeldung legt den Schluss nahe, dass die Datenbank down ist.
das Pflegeheim, -e;nursing home;будинок престарілих;Wir richten das sichere WLAN-Netzwerk im neuen Pflegeheim ein.
produzierendes Gewerbe;manufacturing industry;виробнича промисловість;Das produzierende Gewerbe braucht dringend neue Automatisierungssoftware.
die Reservierung, -en;reservation;бронювання;Unser Backend verarbeitet Tausende Reservierungen pro Minute.
die Schichtarbeit (Sg.);shift work;позмінна робота;In der 24/7 Server-Überwachung ist Schichtarbeit ganz normal.
der Server, -;server;сервер;Die Web-Applikation läuft stabil auf einem Linux-Server in Frankfurt.
sozialversicherungspflichtig;subject to social security contributions;який підлягає соціальному страхуванню;Mein neuer Job als Frontend-Entwickler ist sozialversicherungspflichtig.
stabil;stable;стабільний;Die neue Microservice-Architektur ist sehr stabil und stürzt nicht ab.
die Teilzeit (Sg.);part-time;неповний робочий день;Ich arbeite momentan in Teilzeit, um mehr Zeit zum Deutschlernen zu haben.
etw. überwachen;to monitor, to supervise;контролювати, здійснювати моніторинг;Wir nutzen Datadog, um unsere Server in Echtzeit zu überwachen.
etw. verwalten;to manage, to administer;управляти, адмініструвати;Als Sysadmin muss ich die Zugriffsrechte aller User verwalten.
die Vollzeit (Sg.);full-time;повний робочий день;Ich suche nach dem Kurs eine Festanstellung in Vollzeit.
der Vollzeitjob, -s;full-time job;робота на повний робочий день;Ein Vollzeitjob in der deutschen IT bedeutet meistens 40 Stunden pro Woche.
