#separator:;
#html:true
#columns:German;German_Audio;English;Ukrainian;Example
der Absolvent, -en / die Absolventin, -nen;der Absolvent;graduate;випускник;Als Absolvent einer IT-Akademie suche ich meinen ersten Job.
sich anpassen an (+ Akk.) (passt sich an, passte sich an, hat sich angepasst);sich anpassen an;to adapt to;пристосовуватися до, адаптуватися до;Wir müssen uns schnell an die neuen Technologien anpassen.
der Arbeitsberater, - / die Arbeitsberaterin, -nen;der Arbeitsberater;employment counselor;консультант з працевлаштування;Der Arbeitsberater hilft mir, passende IT-Stellen zu finden.
die Arbeitsteilung (Sg.);die Arbeitsteilung;division of labor;розподіл праці;Agile Softwareentwicklung funktioniert gut durch klare Arbeitsteilung.
die Arbeitswelt (Sg.);die Arbeitswelt;working world;світ праці, робоче середовище;Die digitale Arbeitswelt erfordert ständiges Lernen.
aufgrund von (+ Dat.);aufgrund von;due to, based on;на підставі, через;Aufgrund von Serverproblemen ist die Webseite offline.
die Bedeutung, -en;die Bedeutung;meaning, significance;значення, важливість;Datensicherheit hat in unserer Firma eine große Bedeutung.
sich behaupten (behauptet sich, behauptete sich, hat sich behauptet);sich behaupten;to assert oneself, to hold one's own;зарекомендувати себе, відстоювати свої позиції;Als Junior Developer muss man sich im neuen Team erst behaupten.
der Berufsweg, -e;der Berufsweg;career path;кар'єрний шлях;Mein Berufsweg in der IT begann als Support-Mitarbeiter.
die Digitalisierung (Sg.);die Digitalisierung;digitalization;цифровізація;Die Digitalisierung verändert alle Prozesse im Unternehmen.
sich einstellen auf (+ Akk.) (stellt sich ein, stellte sich ein, hat sich eingestellt);sich einstellen auf;to prepare for, to adjust to;налаштовуватися на, готуватися до;Wir müssen uns auf ein stressiges Release am Freitag einstellen.
erforderlich;erforderlich;required, necessary;необхідний;Für diese Position sind gute Kenntnisse in React erforderlich.
etw. erwerben (erwirbt, erwarb, hat erworben);erwerben;to acquire;здобувати (напр. знання, навички);Ich möchte in diesem Projekt neue Programmierkenntnisse erwerben.
der Erwerbstätige, -n / die Erwerbstätige, -n;der Erwerbstätige;employed person;працюючий, людина, що має оплачувану роботу;Viele Erwerbstätige in der IT arbeiten im Home-Office.
der Freiberufler, - / die Freiberuflerin, -nen;der Freiberufler;freelancer;фрилансер;Als Freiberufler entwickle ich Apps für verschiedene Kunden.
die Globalisierung (Sg.);die Globalisierung;globalization;глобалізація;Durch die Globalisierung arbeiten wir mit Entwicklern aus aller Welt.
die Herausforderung, -en;die Herausforderung;challenge;виклик, складна задача;Die Server-Migration ist eine große technische Herausforderung.
interkulturelle Kompetenz;interkulturelle Kompetenz;intercultural competence;міжкультурна компетенція;Im internationalen Team ist interkulturelle Kompetenz sehr wichtig.
der Klimawandel (Sg.);der Klimawandel;climate change;зміна клімату;Green IT versucht, den Klimawandel durch energiesparende Server zu bremsen.
die Kompetenz, -en;die Kompetenz;competence, skill;компетенція, навичка;Er hat eine hohe Kompetenz im Bereich Cloud-Computing.
modernisieren (modernisiert, modernisierte, hat modernisiert);modernisieren;to modernize;модернізувати, оновлювати;Wir müssen unsere alte IT-Infrastruktur modernisieren.
die Neuorientierung, -en;die Neuorientierung;reorientation;переорієнтація;Nach fünf Jahren im Frontend brauche ich eine berufliche Neuorientierung ins Backend.
sich niederlassen (lässt sich nieder, ließ sich nieder, hat sich niedergelassen);sich niederlassen;to settle, to establish oneself;осісти, заснувати справу;Das Startup hat sich in Berlin niedergelassen.
ökologisch;ökologisch;ecological;екологічний;Unsere Rechenzentren nutzen ökologischen Strom.
das Pausengespräch, -e;das Pausengespräch;break conversation;розмова під час перерви;Im Pausengespräch reden wir oft über neue Frameworks.
die Technologie, -n;die Technologie;technology;технологія;Wir nutzen die neueste Technologie für unsere App.
die Unterbrechung, -en;die Unterbrechung;interruption;перерва, переривання;Ein Deployment ohne Unterbrechung (Zero Downtime) ist unser Ziel.
das Unternehmen, -;das Unternehmen;company, enterprise;підприємство, компанія;Das IT-Unternehmen wächst sehr schnell.
veralten (veraltet, veraltete, ist veraltet);veralten;to become obsolete / outdated;застарівати;Dieser Code ist leider schon nach zwei Jahren veraltet.
vertrauen auf (+ Akk.) (vertraut, vertraute, hat vertraut);vertrauen auf;to trust in, to rely on;довіряти, покладатися на;Wir vertrauen auf das neue Backup-System.
ambulant;ambulant;outpatient, ambulatory;амбулаторний;Wir programmieren eine Software für ambulante Pflegedienste.
das Berufsleben (Sg.);das Berufsleben;professional life, career;професійне життя;Ein lebenslanges Lernen gehört zum Berufsleben in der IT.
das Beschwerdemanagement (Sg.);das Beschwerdemanagement;complaint management;управління скаргами;Das Beschwerdemanagement nutzt unser neues Ticket-System.
der Betreuungsdienst, -e;der Betreuungsdienst;care service, support service;служба догляду (або підтримки);Der IT-Betreuungsdienst hilft den Usern bei Problemen.
der Bildungsgutschein, -e;der Bildungsgutschein;education voucher;ваучер на навчання;Mit dem Bildungsgutschein vom Jobcenter mache ich einen IT-Kurs.
bisherig;bisherig;previous;попередній, нинішній (до цього моменту);Mein bisheriger Arbeitgeber hat keine Cloud genutzt.
eingehende Post;eingehende Post;incoming mail;вхідна пошта;Das Skript sortiert automatisch alle eingehende Post.
die Fachkraft, "-e;die Fachkraft;skilled worker, specialist;кваліфікований спеціаліст;Es gibt einen großen Mangel an IT-Fachkräften in Deutschland.
die Fördermöglichkeit, -en;die Fördermöglichkeit;funding opportunity;можливість фінансування;Startups suchen oft nach staatlichen Fördermöglichkeiten.
geeignet für (+ Akk.);geeignet für;suitable for;придатний для, підходящий;Diese Datenbank ist gut geeignet für große Datenmengen.
die Haushaltsführung, -en;die Haushaltsführung;household management;ведення домашнього господарства;Unsere Smart-Home-App hilft bei der Haushaltsführung.
die Hilfskraft, "-e;die Hilfskraft;assistant, helper;помічник, допоміжний персонал;Wir suchen eine studentische Hilfskraft für den IT-Support.
die Kenntnis, -se;die Kenntnis;knowledge;знання;Gute Kenntnisse in JavaScript sind für diesen Job Pflicht.
Kenntnisse erwerben;Kenntnisse erwerben;to acquire knowledge;здобувати знання;Im Praktikum möchte ich praktische Kenntnisse erwerben.
die Lagerliste, -n;die Lagerliste;inventory list, stock list;складський список;Die Datenbank aktualisiert die Lagerliste in Echtzeit.
