die Abteilung, -en	department / відділ
der Arbeitgeber, -	employer / роботодавець
die Arbeitgeberin, -nen	female employer / роботодавиця
das Asylverfahren, -	asylum procedure / процедура надання притулку
die Ausbildung, -en	apprenticeship, vocational training / професійне навчання
auf|fallen (fällt auf, fiel auf, ist aufgefallen)	to stand out, to be noticeable / впадати в око
(eine Prüfung) bestehen (besteht, bestand, hat bestanden)	to pass (an exam) / скласти (іспит)
das Berufsinformationszentrum (BIZ)	career information center / центр профорієнтації
der Betrieb, -e	company, business / підприємство
sich bewerben (bewirbt sich, bewarb sich, hat sich beworben)	to apply / подавати заявку (на роботу)
jdn. ein|stellen (stellt ein, stellte ein, hat eingestellt)	to hire someone / наймати когось
das E-Learning (Sg.)	e-learning / електронне навчання
der E-Learning-Kurs, -e	e-learning course / курс дистанційного навчання
der Facharbeiter, -	skilled worker / кваліфікований робітник
die Facharbeiterin, -nen	female skilled worker / кваліфікована робітниця
der Gabelstapler, -	forklift / навантажувач
die Geschäftsführung, -en	management / керівництво
sich informieren über (+ Akk.) (informiert sich, informierte sich, hat sich informiert)	to inform oneself / інформуватися
das Lager, -	warehouse, storage / склад
die Lagerlogistik (Sg.)	warehouse logistics / складська логістика
der Mitarbeiter, -	employee / співробітник
die Mitarbeiterin, -nen	female employee / співробітниця
jdm. etw. raten (rät, riet, hat geraten)	to advise someone / радити комусь щось
der Schulabschluss, "-e	school-leaving certificate / шкільний атестат
steigen (stieg, ist gestiegen)	to rise, to climb / підніматися, зростати
teil|nehmen an (+ Dat.) (nimmt teil, nahm teil, hat teilgenommen)	to participate in / брати участь
der Umsatz, "-e	revenue, turnover / оборот, виручка
die Umschulung, -en	retraining / перекваліфікація
wahrscheinlich	probably / ймовірно
die Weiterbildung, -en	further education / підвищення кваліфікації
der Antrag, "-e	application, request / заява
einen Antrag stellen (stellt, stellte, hat gestellt)	to submit an application / падавати заяву
die Aufenthaltsgenehmigung, -en	residence permit / посвідка на проживання
auf|wachsen (wächst auf, wuchs auf, ist aufgewachsen)	to grow up / виростати
der Berater, -	advisor, counselor / консультант
die Beraterin, -nen	female advisor / консультантка
jdn. beschäftigen (beschäftigt, beschäftigte, hat beschäftigt)	to employ someone / мати у штаті, займати когось
der Businessplan, "-e	business plan / бізнес-план
das Einkommen, -	income / дохід
die Entscheidung, -en	decision / рішення
eine Entscheidung treffen (trifft, traf, hat getroffen)	to make a decision / прийти до рішення
die Existenzgründung, -en	founding of a business / заснування власної справи
die Fortbildung, -en	advanced training / підвищення кваліфікації
eine Fortbildung machen (macht, machte, hat gemacht)	to do a training / проходити курс підвищення кваліфікації
(ein Unternehmen) gründen (gründet, gründete, hat gegründet)	to found (a company) / засновувати (компанію)
einen Kredit bewilligen (bewilligt, bewilligte, hat bewilligt)	to approve a loan / надавати кредит
der Küchenhelfer, -	kitchen assistant / кухонний помічник
die Küchenhelferin, -nen	female kitchen assistant / кухонна помічниця
sich selbstständig machen	to go self-employed / почати власну справу
die Selbstständigkeit (Sg.)	self-employment / самостійність, самозайнятість
überlegen (überlegt, überlegte, hat überlegt)	to consider, to think about / обмірковувати
Verantwortung tragen for (+ Akk.)	to bear responsibility / нести відповідальність
etw. anerkennen lassen	to have something recognized / визнавати (напр. диплом)
der Berufsabschluss, "-e	vocational qualification / професійна освіта
die Berufsausbildung, -en	vocational training / професійна освіта
