#separator:;
#html:true
#columns:German;English;Ukrainian;Example
beteiligt an (+ Dat.);involved in;причетний до, залучений до;Sie waren an der Umsetzung des Investitionsplans beteiligt.
gewöhnt an (+ Akk.);used to;звиклий до;Die Sekretärin ist an das alte Betriebssystem gewöhnt.
interessiert an (+ Dat.);interested in;зацікавлений у;Sie war an der ausgeschriebenen Stelle interessiert.
reich an (+ Dat.);rich in;багатий на;Das Geschäftsjahr war reich an unangenehmen Überraschungen.
schuld an (+ Dat.);to blame for;винен у;Wer war an dem Betriebsunfall schuld?
unschuldig an (+ Dat.);innocent of;невинний у;Sie war an der Sache nicht ganz unschuldig.
angewiesen auf (+ Akk.);dependent on;залежний від;Wir sind auf das Funktionieren der Software angewiesen.
böse auf (+ Akk.);angry with;злий на;Wegen des vergessenen Termins war sie auf ihren Kollegen böse.
eifersüchtig auf (+ Akk.);jealous of;ревнивий до;Das Kind war auf das Spielzeug eines anderen eifersüchtig.
gespannt auf (+ Akk.);curious about / looking forward to;заінтригований (чимось), з нетерпінням очікуючий на;Die Mitarbeitenden waren auf die Rede des Betriebsrats gespannt.
neidisch auf (+ Akk.);envious of;заздрісний до;Er war auf seinen Kollegen, der befördert wurde, neidisch.
neugierig auf (+ Akk.);curious about;допитливий до, цікавий стосовно;Sie waren auf das Ergebnis der Gespräche neugierig.
stolz auf (+ Akk.);proud of;гордий за;Sie war auf die guten Leistungen ihres Teams stolz.
wütend auf (+ Akk.);furious with;лютий на;Nach dem Meeting war die Chefin auf das Team ziemlich wütend.
angesehen bei (+ Dat.);respected by;шанований серед;Sie war bei ihren Geschäftspartnern hoch angesehen.
behilflich bei (+ Dat.);helpful with;корисний у, допомагає з;Kannst du mir bei der Installation des Programms behilflich sein?
beliebt bei (+ Dat.);popular with;популярний серед;Die Internationale Funkausstellung ist bei den Besuchern sehr beliebt.
unbeliebt bei (+ Dat.);unpopular with;непопулярний серед;Der Chef war bei einigen Mitarbeitenden ziemlich unbeliebt.
angenehm für (+ Akk.);pleasant for;приємний для;Das Arbeitsklima im Projekt war für die Mitarbeitenden sehr angenehm.
bekannt für (+ Akk.);famous/known for;відомий (чимось);Sie ist in der Abteilung für ihre Genauigkeit bekannt.
