#separator:;
#html:true
#columns:German;English;Ukrainian;Example
ablaufen (läuft ab, lief ab, ist abgelaufen);to expire, to run out;закінчуватися, закінчувати термін дії;Mein befristeter IT-Arbeitsvertrag wird bald ablaufen.
angesichts (+ Gen.);in view of, given;зважаючи на, з огляду на;Angesichts des Fachkräftemangels zahlen Firmen höhere Gehälter für Entwickler.
die Arbeitsleistung, -en;work performance;результативність праці, виконана робота;Seine Arbeitsleistung als Junior-Entwickler ist wirklich hervorragend.
aufgrund (+ Gen.);due to, because of;через, на підставі;Aufgrund eines Serverausfalls arbeiten wir heute komplett offline.
der Ausbildungsvertrag, "-e;training contract;договір на професійне навчання;Er hat seinen Ausbildungsvertrag zum Fachinformatiker unterschrieben.
befristet;fixed-term, temporary;строковий (договір), тимчасовий;Der erste Vertrag im Tech-Startup ist oft auf ein Jahr befristet.
der Berufsalltag (Sg.);everyday working life;професійні будні;Im IT-Berufsalltag nutzt man häufig agile Methoden wie Scrum.
dank (+ Gen.);thanks to;завдяки;Dank des neuen React-Frameworks laden die Seiten viel schneller.
der Einblick, -e;insight, glimpse;уявлення, ознайомлення;Das Praktikum gab mir einen guten Einblick in die Softwarearchitektur.
etw. erbringen (erbringt, erbrachte, hat erbracht);to provide, to perform;надавати, виконувати;Der Freelancer muss die vertraglich vereinbarte Leistung erbringen.
gültig;valid;дійсний;Das SSL-Zertifikat für unsere Webseite ist leider nicht mehr gültig.
infolge (+ Gen.);as a result of, due to;внаслідок, через;Infolge des fehlerhaften Updates gab es einige Bugs im System.
die Institution, -en;institution;установа, інституція;Das BSI ist eine wichtige Institution für IT-Sicherheit in Deutschland.
der Mindestlohn, "-e;minimum wage;мінімальна зарплата;Der Mindestlohn ist für Senior-Entwickler in der Regel nicht relevant.
der Minijob, -s;marginal employment, mini-job;мініджоб (робота на неповний день до певної суми);Neben dem Informatik-Studium mache ich einen Minijob als IT-Support.
der Praktikumsvertrag, "-e;internship contract;договір на проходження практики;Mein Praktikumsvertrag als Frontend-Dev läuft über sechs Monate.
der Renteneintritt (Sg.);retirement;вихід на пенсію;Unser Senior-Architekt plant seinen Renteneintritt für nächstes Jahr.
der Teilzeitarbeitsvertrag, "-e;part-time employment contract;договір про неповний робочий час;Sie hat einen Teilzeitarbeitsvertrag über 20 Stunden pro Woche.
etw. übersteigen (übersteigt, überstieg, hat überstiegen);to exceed;перевищувати;Die Ladezeit der App darf 2 Sekunden nicht übersteigen.
unbefristet;permanent, unlimited;безстроковий;Ich habe endlich einen unbefristeten Arbeitsvertrag als Entwickler bekommen!
sich verpflichten zu (+ Dat.);to commit oneself to;зобов'язуватися;Wir verpflichten uns vertraglich zu strengster Datensicherheit.
wegen (+ Gen.);because of;через;Wegen des Fehlers im Code musste das geplante Release verschoben werden.
der Werkvertrag, "-e;contract for work/services;договір підряду;Der externe Designer arbeitet bei uns auf Basis eines Werkvertrags.
der Zeitaufwand (Sg.);expenditure of time;витрати часу;Der Zeitaufwand für das Refactoring des alten Codes war enorm.
die Abmahnung, -en;warning, reprimand;попередження, догана;Wegen unautorisierter Software-Nutzung bekam er eine Abmahnung.
der Arbeitskampf, "-e;labor dispute, strike;трудовий конфлікт, страйк;Die IT-Gewerkschaft ruft bei gescheiterten Verhandlungen zum Arbeitskampf auf.
die Belegschaft, -en;workforce, staff;колектив, персонал;Die gesamte Belegschaft wurde über die neuen IT-Sicherheitsrichtlinien informiert.
die Berufsgruppe, -n;occupational group;професійна група;Softwareentwickler sind momentan eine stark gefragte Berufsgruppe.
bestehen aus (+ Dat.) (besteht, bestand, hat bestanden);to consist of;складатися з;Unser agiles Team besteht aus drei Frontendlern und zwei Backend-Entwicklern.
das Betriebsratsmitglied, -er;works council member;член виробничої ради;Das Betriebsratsmitglied berät uns bei Fragen zum neuen Arbeitsvertrag.
die Betriebsratswahl, -en;works council election;вибори виробничої ради;Die Betriebsratswahl findet dieses Jahr komplett online im Intranet statt.
die Betriebsverlegung, -en;relocation of the company;перенесення підприємства (в інше місце);Wegen der Betriebsverlegung nach Berlin arbeiten nun viele Entwickler remote.
die Betriebsversammlung, -en;works meeting, staff meeting;загальні збори працівників;Auf der Betriebsversammlung präsentierte der CEO die neuen Quartalsziele.
die Elternzeit, -en;parental leave;декретна відпустка (для обох батьків);Unser Scrum Master geht für sechs Monate in Elternzeit.
das Erscheinen (Sg.);appearance, attendance;присутність, явка;Pünktliches Erscheinen zum Daily Standup ist für alle Teammitglieder Pflicht.
fair;fair;справедливий;Wir haben einen sehr fairen und transparenten Onboarding-Prozess.
die Geschäftsführung, -en;management, executive board;керівництво компанії, дирекція;Die Geschäftsführung hat das Budget für unsere Cloud-Server erhöht.
die Gewerkschaft, -en;trade union;профспілка;Die Gewerkschaft verhandelt einen neuen Tarifvertrag für die IT-Branche.
das Gremium, Gremien;committee, board;комітет, комісія;Das IT-Sicherheitsgremium prüft die neuen Firewall-Richtlinien.
die Interessenvertretung, -en;representation of interests;представництво інтересів;Der Betriebsrat ist die offizielle Interessenvertretung der Arbeitnehmer.
mitbestimmen;to have a say, to co-determine;мати право голосу, брати участь у вирішенні;Entwickler sollten bei der Wahl des Tech-Stacks immer mitbestimmen dürfen.
die Mitbestimmung, -en;co-determination, worker participation;участь працівників в управлінні;Die Mitbestimmung des Betriebsrats bei Software-Tools ist gesetzlich geregelt.
nachvollziehbar;comprehensible, understandable;зрозумілий, логічний;Dein Quellcode ist dank der guten Kommentare sehr leicht nachvollziehbar.
der Schritt, -e;step;крок;Der Wechsel zu Microservices war ein großer, aber wichtiger Schritt für uns.
der Sozialplan, "-e;social compensation plan;соціальний план (при скороченнях);Der Sozialplan federt die finanziellen Folgen der Kündigungen im Startup ab.
der Tätigkeitsbericht, -e;activity report;звіт про діяльність;Im Jira-System generieren wir automatisch unseren wöchentlichen Tätigkeitsbericht.
die Teilzeitkraft, "-e;part-time employee;працівник на неповний робочий день;Wir suchen eine Teilzeitkraft für die Systemadministration.
etw. vergüten;to remunerate, to pay;оплачувати, винагороджувати;Die Überstunden vor dem Release werden extra vergütet.
verhandeln;to negotiate;вести переговори;Ich muss nächste Woche mit HR über mein neues Senior-Gehalt verhandeln.
etw. verhindern;to prevent;запобігати, перешкоджати;Ein gutes, automatisiertes Backup-System kann Datenverlust verhindern.
etw. verlegen;to relocate, to misplace;переносити (в інше місце);Wir verlegen den gesamten Serverraum in das neue, sicherere Gebäude.
verständlich;understandable;зрозумілий;Die API-Dokumentation muss für alle externen Entwickler verständlich sein.
etw./jdn. vertreten (vertritt, vertrat, hat vertreten);to represent, to replace;представляти, заміняти (когось);Ich muss heute den kranken Product Owner im Kunden-Meeting vertreten.
die Werkhalle, -n;factory hall, workshop;цех, виробниче приміщення;Die WLAN-Abdeckung in der großen Werkhalle wurde durch neue Router verbessert.
die Abfindung, -en;severance pay;вихідна допомога;Nach der überraschenden Kündigung erhielt der Entwickler eine gute Abfindung.
der Abfindungsanspruch, "-e;entitlement to severance pay;право на вихідну допомогу;Der Anwalt prüft meinen Abfindungsanspruch aus dem alten Arbeitsvertrag.
die Alternative, -n;alternative;альтернатива;Die Datenbank PostgreSQL ist oft eine sehr gute Alternative zu MySQL.
etw./jdn. anhören;to listen to, to hear;вислухати;Wir müssen uns die Sicherheitsbedenken der QA-Abteilung genau anhören.
