#separator:;
#html:true
#columns:German;English;Ukrainian;Example
backen (bäckt/backt, backte/buk, hat gebacken);to bake;випікати, пекти;In der werkseigenen Kantine wird das Brot täglich frisch gebacken.
befehlen (befiehlt, befahl, hat befohlen);to command, to order;наказувати;Der Werkleiter hat befohlen, die Maschinen im Ernstfall sofort abzustellen.
beginnen (beginnt, begann, hat begonnen);to begin, to start;починати;Wir haben soeben begonnen, das Übergabeprotokoll für den Schichtwechsel zu schreiben.
beißen (beißt, biss, hat gebissen);to bite;кусати;Der Wachhund auf dem Betriebsgelände hat glücklicherweise noch niemanden gebissen.
bergen (birgt, barg, hat geborgen);to salvage, to rescue, to hide;рятувати, переховувати, таїти в собі;Der unüberlegte Vertrag barg erhebliche Haftungsrisiken für die GmbH.
betrügen (betrügt, betrog, hat betrogen);to cheat, to deceive;обманювати, ошукувати;Der Lieferant hat uns bei den Angaben zur Kälteleistung betrogen.
beweisen (beweist, bewies, hat bewiesen);to prove;доводити;Das ärztliche Attest bewies die anhaltende Arbeitsunfähigkeit des Beschäftigten.
bewegen (bewegt, bewegte/bewog, hat bewegt);to move, to induce;рухати, спонукати;Die guten Konditionen der Altersteilzeit haben ihn zum Vertragsabschluss bewogen.
sich bewerben (bewirbt sich, bewarb sich, hat sich beworben);to apply for (a job);подавати заявку (на роботу);Er hat sich um die Stelle des Immissionsschutzbeauftragten beworben.
bewerfen (bewirbt, bewarf, hat beworfen);to pelt, to throw at;закидати, обкидати;Die Tarifpartner sollten sich bei den Verhandlungen nicht mit Vorwürfen bewerfen.
biegen (biegt, bog, hat gebogen);to bend;гнути, згинати;Der Installateur muss das Rohr der Gasleitung vorsichtig biegen.
bieten (bietet, bot, hat geboten);to offer;пропонувати;Die Bildungsmesse bietet eine hervorragende Orientierung für den Berufseinstieg.
binden (bindet, band, hat gebunden);to bind, to tie;зв'язувати, прив'язувати;Der Tarifvertrag bittet beide Seiten und bindet sie an die Friedenspflicht.
bitten (bittet, bat, hat gebeten);to ask, to request;просити;<b>Ich habe den Vorgesetzten um ein schnelles Gespräch gebeten</b>.
blasen (bläst, blies, hat geblasen);to blow;дути;Die Luftleitung bläst kühle Luft direkt in die Werkhalle.
bleiben (bleibt, blieb, ist geblieben);to stay, to remain;залишатися;Trotz der Insolvenz ist die Belegschaft weiterhin im Betrieb geblieben.
brechen (bricht, brach, hat/ist gebrochen);to break;ламати, розривати;Der Mitarbeiter hat sich beim Wegeunfall das linke Bein gebrochen.
brennen (brennt, brannte, hat gebrannt);to burn;горіти;Wegen des Kabelbrands hat die Kontrollleuchte am Aggregat rot gebrannt.
bringen (bringt, brachte, hat gebracht);to bring;приносити;Die Modernisierung der Kältemaschine hat eine erhebliche Energieeinsparung gebracht.
durchdringen (dringt durch, drang durch, ist durchgedrungen / hat durchdrungen);to penetrate, to permeate;проникати, пронизувати;Das Bewusstsein für den Arbeitsschutz hat die gesamte Belegschaft durchdrungen.
denken (denkt, dachte, hat gedacht);to think;думати;Ich habe an eine andere Möglichkeit zur Lärmminderung gedacht.
dürfen (darf, durfte, hat gedurft / hat dürfen);to be allowed to;мати дозвіл;Auszubildende dürfen die Werkhalle nicht ohne Gehörschutz betreten.
empfangen (empfängt, empfing, hat empfangen);to receive;приймати, отримувати;Der Gläubiger hat das offizielle Schreiben des Insolvenzverwalters empfangen.
empfehlen (empfiehlt, empfahl, hat empfohlen);to recommend;рекомендувати;Der Betriebsarzt empfiehlt, dem neuen Einarbeitungsplan Folge zu leisten.
