#separator:;
#html:true
#columns:German;English;Ukrainian;Example
ändern an (+ Dat.);to change;змінювати в;An dieser Situation kann man noch etwas ändern.
denken an (+ Akk.);to think of/about;думати про;Ich denke oft an meine berufliche Zukunft.
sich erinnern an (+ Akk.);to remember;пам'ятати про, згадувати;Franziska kann sich recht gut an das Projekt erinnern.
sich gewöhnen an (+ Akk.);to get used to;звикати до;Ich habe mich an das Essen gewöhnt.
glauben an (+ Akk.);to believe in;вірити в;Er glaubt an den Erfolg der Marketingmaßnahme.
es liegt an (+ Dat.);it is due to / it lies in;це залежить від, причина в;Dass ich Kopfschmerzen habe, liegt am Wetter.
richten an (+ Akk.);to address to;направляти, адресувати (комусь);Sie richtete die Bitte an ihre Kollegen.
teilnehmen an (+ Dat.);to participate in;брати участь у;Ich nehme an dem Projekt teil.
sich wenden an (+ Akk.);to turn to / contact;звертатися до (когось);Er hat sich an den Betriebsrat gewendet.
zweifeln an (+ Dat.);to doubt;сумніватися в;Sie hat nie am Erfolg des Projekts gezweifelt.
abwälzen auf (+ Akk.);to pass off onto / shift onto;перекладати (провину, роботу) на;Klaus wälzt die ganze Arbeit auf seinen Kollegen ab.
achten auf (+ Akk.);to pay attention to / watch;звертати увагу на, стежити за;Sebastian achtet sehr auf sein Aussehen.
ankommen auf (+ Akk.);to depend on;залежати від;Das kommt darauf an.
antworten auf (+ Akk.);to answer;відповідати на;Antworten Sie bitte auf meine Frage.
aufpassen auf (+ Akk.);to watch out for / look after;стежити за, доглядати;Sie sollten besser auf Ihren Schlüssel aufpassen. Hier wird oft geklaut.
sich auswirken auf (+ Akk.);to affect / have an impact on;впливати на, позначатися на;Seine Müdigkeit hat sich auf seine Leistung ausgewirkt.
sich beziehen auf (+ Akk.);to refer to / relate to;посилатися на, стосуватися;Ich beziehe mich auf Ihren Brief vom 23. Mai.
sich einigen auf (+ Akk.);to agree on;домовитися про, зійтися на;Sie haben sich auf die Projektmeilensteine geeinigt.
sich einlassen auf (+ Akk.);to get involved with / agree to;в'язуватися в, погоджуватися на;Er hat sich nicht auf das Angebot eingelassen.
sich einstellen auf (+ Akk.);to adjust to / prepare for;налаштовуватися на, пристосовуватися до;Wir müssen uns auf die neue Situation einstellen.
sich einstimmen auf (+ Akk.);to get in the mood for;налаштовуватися на (святковий лад/відпустку);Wir können uns jetzt auf den Urlaub einstimmen.
sich freuen auf (+ Akk.);to look forward to;радіти (чомусь майбутньому);Wir freuen uns auf den Urlaub.
hinweisen auf (+ Akk.);to point out;вкивати на;Sie hat ihn auf die Projektrisiken hingewiesen.
hoffen auf (+ Akk.);to hope for;сподіватися на;Sie hofft auf eine schnelle Antwort.
kommen auf (+ Akk.);to come up with (an idea) / think of;натрапити на (думку), додуматися до;Wie sind Sie auf diesen Vorschlag gekommen?
sich konzentrieren auf (+ Akk.);to concentrate on;концентруватися на;Ich will mich ganz auf die Prüfung konzentrieren.
reagieren auf (+ Akk.);to react to;реагувати на;Wir müssen schnell auf seine Frage reagieren.
stellen auf (+ Akk.);to set to;ставити на, налаштовувати на;Stell den Schalter auf Stufe 3.
sich verlassen auf (+ Akk.);to rely on;покладатися на;Sie können sich auf mich verlassen.
verzichten auf (+ Akk.);to do without;відмовлятися від;Er kann auf seine Kaffeepause heute nicht verzichten.
sich vorbereiten auf (+ Akk.);to prepare for;готуватися до;Wir müssen uns auf das Gespräch vorbereiten.
warten auf (+ Akk.);to wait for;чекати на;Fabian wartet auf seinen Vorgesetzten.
wirken auf (+ Akk.);to seem to / have an effect on;справляти враження на, впливати;Er wirkt auf mich sympathisch und kompetent.
zukommen auf (+ Akk.);to approach / lie ahead of;наближатися до, очікувати на (когось);Ich sehe einige Probleme auf uns zukommen.
bestehen aus (+ Dat.);to consist of;складатися з;Mein Vortrag besteht aus drei Teilen.
herauskommen aus (+ Dat.);to come out of;виходити з;Die Mitarbeiter sind aus ihren Büros herausgekommen.
sich zurückziehen aus (+ Dat.);to withdraw from;йти з, ретируватися з;Sie hat sich aus der Geschäftsführung zurückgezogen.
sich zusammensetzen aus (+ Dat.);to be composed of;складатися з;Die Luft setzt sich aus verschiedenen Gasen zusammen.
verweilen bei (+ Dat.);to linger at / stay with;затримуватися в, перебувати у;Er verweilte ein paar Tage bei seinen Freunden.
sich erstrecken von/bis;to extend from/to;простягатися від/до;Die Alpen erstrecken sich von Frankreich bis (nach) Slowenien.
sich auszeichnen durch (+ Akk.);to distinguish oneself by;відзначатися, виділятися (чимось);Sie zeichnet sich durch Genauigkeit aus.
beeindrucken durch (+ Akk.);to impress with;вражати (чимось);Sie beeindruckte ihre Chefin durch ihr Können.
ersetzen durch (+ Akk.);to replace with;замінювати (чимось);Alle Laptops wurden durch neue Tablets ersetzt.
ausgeben für (+ Akk.);to spend on;витрачати на;Die Firma gibt viel Geld für Weiterbildung aus.
sich begeistern für (+ Akk.);to be enthusiastic about;захоплюватися (чимось);Er hat sich für die neue Technik begeistert.
sich einsetzen für (+ Akk.);to advocate for / stand up for;заступатися за, докладати зусиль для;Sie hat sich aktiv für ihren Kollegen eingesetzt.
sich engagieren für (+ Akk.);to get involved in / commit to;активно виступати за, брати участь у;Ich engagiere mich für das Jugendtheater in unserer Stadt.
sich entscheiden für (+ Akk.);to decide on / choose;вирішувати на користь, обирати;Sie hat sich für das billigere Angebot entschieden.
sich entschuldigen für (+ Akk.);to apologize for;вибачатися за;Ich entschuldige mich für diesen Fehler.
erwärmen für (+ Akk.);to warm to / get enthusiastic about;захопитися (чимось), проявити інтерес;Er konnte sich nicht für seinen neuen Chef erwärmen.
halten für (+ Akk.);to consider to be;вважати (чимось/кимось);Wir halten Innovationen für ein wichtiges Thema.
sich interessieren für (+ Akk.);to be interested in;цікавитися (чимось);Sie interessiert sich sehr für die Weiterbildung.
kämpfen für (+ Akk.);to fight for;боротися за;Sie kämpft für die Anerkennung ihres Schulabschlusses.
plädieren für (+ Akk.);to plead for / advocate;виступати за, висловлюватися на користь;Er plädierte für die Anmietung neuer Büros.
sorgen für (+ Akk.);to take care of / provide for;піклуватися про;Ihr Auftritt sorgte für eine Überraschung.
stimmen für (+ Akk.);to vote for;голосувати за;Viele stimmten für den neuen Plan.
tun für (+ Akk.);to do for;робити для;Wir tun alles für die Einhaltung des Terminplans.
votieren für (+ Akk.);to vote for;голосувати за;Sie votierte für eine Ausweitung der Produktion.
sich durchsetzen gegen (+ Akk.);to assert oneself against;пробиватися, долати опір;Warum setzen Sie sich nicht einfach gegen Ihre Kollegen durch?
kämpfen gegen (+ Akk.);to fight against;боротися проти;Wir müssen gegen Intoleranz kämpfen.
protestieren gegen (+ Akk.);to protest against;протестувати проти;Die Mitarbeitenden protestierten gegen die Entlassungen.
stimmen gegen (+ Akk.);to vote against;голосувати проти;Einige stimmten gegen den Plan.
tun gegen (+ Akk.);to do against;робити проти (якихось заходів);Sie sollten etwas gegen Ihre Erkältung tun.
sich verteidigen gegen (+ Akk.);to defend oneself against;захищатися від;Er hat sich gegen die Vorwürfe verteidigt.
verstoßen gegen (+ Akk.);to violate / breach;порушувати (правила, закон);Sie haben gegen die Sicherheitsvorschriften verstoßen.
votieren gegen (+ Akk.);to vote against;голосувати проти;Er votierte gegen die Betriebsschließung.
sich halten in (+ Dat.);to keep in / hold;триматися в;Sie hat sich in der Prüfung sehr gut gehalten.
sich hineinversetzen in (+ Akk.);to put oneself in someone's shoes;увійти в становище (когось);Ich kann mich gut in den Chef hineinversetzen.
sich integrieren in (+ Akk.);to integrate into;інтегруватися в;Er hat sich gut in das neue Team integriert.
investieren in (+ Akk.);to invest in;інвестувати в;Der Staat sollte mehr in Elektroautos investieren.
nachlassen in (+ Dat.);to decrease in / decline;ослабнути в, здавати позиції;Er hat in seinen Leistungen leider sehr nachgelassen.
übereinstimmen in (+ Dat.);to agree on;сходитися в (думках/деталях);Die Mitarbeitenden stimmten in diesem Punkt überein.
umrechnen in (+ Akk.);to convert into;перераховувати в;Die Bank hat die Dollar in Euro umgerechnet.
sich abfinden mit (+ Dat.);to come to terms with;миритися з;Wir fanden uns mit der Situation ab.
sich abmühen mit (+ Dat.);to struggle with / toil;мучитися з, намагатися з усіх сил;Mit Informatik habe ich mich immer sehr abgemüht.
anfangen mit (+ Dat.);to start with;починати з;Wann fangen Sie mit der Arbeit an?
assoziieren mit (+ Dat.);to associate with;асоціювати з;Mit diesem Projekt assoziiert sie ungute Gefühle.
aufhören mit (+ Dat.);to stop;припиняти, закінчувати з;Hör endlich mit dem Gejammer auf!
sich auseinandersetzen mit (+ Dat.);to deal with / confront;розбиратися з, дискутувати з;Wir müssen uns mit dem Thema auseinandersetzen.
sich auskennen mit (+ Dat.);to be familiar with;орієнтуватися в, знатися на;Sie kennt sich mit der neuen Software gut aus.
ausstatten mit (+ Dat.);to equip with;оснащувати (чимось);Das Auto ist mit vielen Extras ausgestattet.
sich austauschen mit (+ Dat.);to exchange ideas with;обмінюватися думками з;Sie tauschten sich mit den anderen Lernenden über ihre Erfahrungen aus.
beauftragen mit (+ Dat.);to task with / commission;доручати (щось);Er wurde mit der Durchführung des Projekts beauftragt.
beeindrucken mit (+ Dat.);to impress with;вражати (чимось);Sie beeindruckten ihre Kollegen mit ihrem fundierten Wissen.
sich befassen mit (+ Dat.);to deal with / study;мати справу з, займатися (чимось);Mit diesem Problem müssen wir uns bald befassen.
beginnen mit (+ Dat.);to start with;починати з;Wann beginnen Sie mit der Arbeit?
(sich) belohnen mit (+ Dat.);to reward (oneself) with;винагороджувати (себе) чимось;Sie belohnt sich für die vielen Überstunden mit einer Reise.
